time,values
1/1/2019,92
2/1/2019,69
3/1/2019,85
4/1/2019,94
5/1/2019,77
6/1/2019,68
7/1/2019,94
8/1/2019,75
9/1/2019,53
10/1/2019,81
11/1/2019,64
12/1/2019,70
1/1/2020,80
2/1/2020,63
3/1/2020,83
4/1/2020,42
5/1/2020,46
6/1/2020,69
7/1/2020,83
8/1/2020,64
9/1/2020,82
10/1/2020,50
11/1/2020,36
12/1/2020,60
1/1/2021,52
2/1/2021,40
3/1/2021,48
4/1/2021,58
5/1/2021,33
6/1/2021,35
7/1/2021,49
8/1/2021,50
9/1/2021,41
10/1/2021,64
11/1/2021,58
12/1/2021,49
1/1/2022,50
2/1/2022,48
3/1/2022,43
4/1/2022,30
5/1/2022,43
6/1/2022,41
7/1/2022,31
8/1/2022,41
9/1/2022,41
10/1/2022,27
11/1/2022,31
12/1/2022,30
1/1/2023,29
2/1/2023,27
3/1/2023,45
4/1/2023,23
5/1/2023,26
6/1/2023,27
7/1/2023,40
8/1/2023,34
9/1/2023,50
10/1/2023,36
11/1/2023,34
12/1/2023,23
1/1/2024,27
2/1/2024,29
3/1/2024,25
4/1/2024,29
5/1/2024,32
6/1/2024,36
7/1/2024,21
8/1/2024,27
9/1/2024,36
10/1/2024,25
11/1/2024,31
12/1/2024,25
1/1/2025,32
2/1/2025,32
3/1/2025,22
4/1/2025,23
5/1/2025,26
6/1/2025,23
7/1/2025,29
8/1/2025,39
9/1/2025,35
10/1/2025,29
11/1/2025,34
12/1/2025,30
